Review_ID,Review
1,"เห็นตอนเย็นรถเข้าออกเยอะมาก เลยไม่ได้แวะสักที เพราะคิดว่าคนเยอะน่าจะบริการไม่ดี แต่กลับกันเลย พนง.เอาใจใส่ดี และเสิร์ฟค่อนข้างเร็วเลย
ร้านกว้างมาก มีโซนคาเฟ่ ห้องแอร์ โซนซุ้ม ห้องคาราโอเกะ เหมาะกับงานเลี้ยงสังสรรค์มากเว่อร์ มีบ่อปลา มีกระต่าย และสัตว์อื่นๆ ให้เด็กๆดูด้วย สนามเด็กเล่นก็มี
เมนูอาหารเหมือนจะราคาแพง แต่ไม่เลย เพราะPortion คือพอกินกันหลายคนอิ่มเลยล่ะ
แต่เมนูเครื่องดื่มราคาดุจริง
อาหารรสชาติดี ราคาสมเหตุผล ข้อเสียคือไม่ควรมาคนเดียว เพราะอาหารแต่อย่างค่อนข้างเยอะ
ปล.กินเสร็จแล้วมีขอให้ทำแบบสอบถามด้วยนะ ปกติไม่ค่อยเจอเท่าไหร่เลย "
2,ร้านอาหารสไตล์ครอบครัว พื้นที่สวย มีปลาเยอะมากๆ เด็กๆน่าจะชอบเพราะมีของเล่นเต็มเลย ส่วนผู้ใหญ่ก็จะชอบอาหารเพราะรสชาติจัดจ้านมากๆ วัตถุดิบไม่ต้องพูดถึงสดใหม่มากๆ ส่วนที่เด็ดที่สุดขอยกให้น้ำจิ้มซีฟู้ดถึงใจมากๆ 
3,"ร้านนี้เป็นร้านแนะนำในกลุ่มพาเด็กเที่ยวเลยค่ะ เพราะตอบโจทย์ความสุขของเด็กจริงๆ มีให้อาหารปลาคาร์ฟ สนามเด็กเล่นใหญ่ๆ สัตว์เล็กหลากหลายทั้ง ไก่ เป็ด กระต่าย

พื้นที่ร้านเค้าใหญ่มาก แต่ที่ประทับใจคือเค้าจัดบริเวณไว้ดี ส่วนที่นั่งกินข้าวโดนยกอยู่ชั้นบน แล้วด้านล่างเป็นสนามเขียวๆที่ปล่อยให้สัตว์ตัวเล็กตัวน้อยอาศัยอย่างอิสระ ไม่ได้อยู่ในคอก เรื่องความสะอาดเลยเยี่ยมเลย กลิ่นรบกวนจากสัตว์ก็ไม่มีค่ะ

อาหารที่เราสั่งมากินก็รสชาติดี และให้เยอะสมราคาทุกจานนะคะ

ที่นั่งมีแบบห้องแอร์ด้านหน้าใกล้ปลาคาร์ฟ แบบซุ้มใหญ่ๆ รับลมดูสัตว์ แบบห้องคาราโอเกะ รองรับลูกค้าได้หลากหลายเลยค่ะ

การบริการก็จะมีพนง.ประจำซุ้มอยู่ คอยบริการ คอยถามว่ารสชาติอาหารโอเคมั้ย ขาดเหลืออะไรมั้ย ดูแลดีเลยค่ะ "
4,เป็นร้านอาหารขนาดใหญ่ บรรยากาศเป็นธรรมชาติ ตั้งอยู่ในแหล่งชุมชนเลยสาขานี้ แบ่งนั่งเป็นซุ้มเป็นส่วนตัวดี รสชาติอาหารอร่อย บริการดี ความรู้สึกเหมือนนั่งอยู่ในธรรมชาติ มีกระต่ายมีเป็ด ราคาเหมาะสมกับปริมาณอาหาร 
5,ครัวป้าบุญ สาขา3 ร้านประจำ หลังเลิกงาน ตอนนี้ ช่วงโควิด ห้องคาราโอะ ยังไม่เปิด เลยนั่งโซน outdoor รับลมเย็นๆ ยามเย็นนั่งดู น้องๆ สัตว์ต่างๆ เดินเล่นในสวน เพลินตามากๆ วันนี้ คนน้อย อาหารเสริฟไว ไม่ช้า ราคากับปริมาร สมเหตุสมผล เพราะ วัตถุดิบ ที่ใช้ ดี สด สะอาด วันนี้ สั่งหอยนางรมสด หอยใหญ่ สดมากๆ ตามด้วยแกงส้มไข่ชะอมใส่กุ้งและ ไจ่ปลาเรียวเซียว ตามด้วย เนื้อปูผัดผงกระหรี่ ห่อหมกทะเล และ ข้าวผัด อร่อยทุกอย่าง พนักงานบริการดี 
6,"ร้านใหญ่มาก ร่มรื่น มีน้ำ ต้นไม้เยอะ
นั่งสบาย คนเยอะ แต่ไม่แออัด
พนักงานเยอะ บริการทั่วถึง มีจุดให้ล้างมือก่อนเดินไปโต๊ะ (ดีมากๆ)
ที่จอดรถเยอะมาก
รสชาติอาหารถือว่าผ่านเลย อร่อย ส่วนมากจะไม่ทำรสชาติเผ็ดมาก
ทอดมันกุ้งกรอบอร่อย
ต้มยำกุ้งไม่เผ็ด ให้เครื่องน้อย ข้าวผัดปูโอเคเลย
ปลาทอด ก้างเยอะมาก แต่ทอดกรอบโอเคเลย
มะพร้าว รสชาติดีมากอันนี้ แต่เครื่องน้อยไปหน่อย"
7,"ร้านนี้เพื่อนชวนมากิน ขับผ่านหลายรอบ บรรยากาศดีมาก พื้นที่กว้างขวาง มีโต๊ะนั่งหลายแบบ เสมือนเข้าไปทานอาหารในสวนสัตว์ มีนก เป็ด ไก่ เดินเล่น เป็นธรรมชาติมาก มีบ้านเป็นหลังๆสำหรับคนที่ชอบคาราโอเกะ วันนี้มาช่วงเที่ยงบ่าย เลยสั่งอาหารทานนิดหน่อย ปลาสามรส ต้มยำกุ้งน้ำข้น เฟรนไฟส์ ส้มตำปู ส้มตำไทย หอยเชลล์อบชีส อาหารโดยรวมรสชาติดี อร่อย
ต้มยำน้ำข้น เข้มข้น จัดจ้านได้ใจ ซดจนหมดถ้วย (เสียดายไม่ทันถ่ายภาพ)
ปลาทอดสามรส ปลาทอดน่าจะสุกเกินนิดๆ แต่น้ำยำใช้ได้ ออกหวานนำ
หอยเชลล์อบชีส จริงๆในรายการไม่มีแต่อยากทานกัน ออกมาพอใช้ได้แม้นชีสไม่ยืด
ส้มตำรสชาติจัดจ้าน ครบรส ออกเผ็ด
สำหรับใครที่มองหาร้านบรรยากาศดีๆชิวล์ๆ กับครอบครัว โดนเฉพาะลูกเล็กๆ น่าจะมาครับ มีพื้นที่ให้เด็กได้สนุกสนานเยอะมาก และมุมถ่ายรูปเก๋ๆ เยอะ ถ้ามาแนะนำประมาณ บ่ายเย็นๆจะดีงาม
ราคาอาหารไม่แพง เลยทีเดียว"
8,"นที่ใหญ่โตกว้างขวางอลังการมาก ที่จอดรถสะดวกสบาย โต๊ะนั่งก็มีมากมายหลายโซนทั้งอินดอร์เอาท์ดอร์ ห้องคาราโอเกะก็มีหลายห้องหลายขนาด โซนเอาท์ดอร์ยามกลางวันจะได้ใกล้ชิดกับสารพัดสัตว์น่ารักๆ ส่วนเรามาวันศุกร์ยามค่ำคืนจองได้โต๊ะหน้าเวที ฟังดนตรีสดอย่างใกล้ชิด ถ้าวอล์คอินไม่น่าจะได้โต๊ะแนะนำให้จองก่อน พนง.ถูกเทรนมาดี บริการน่าประทับใจเริ่มตั้งแต่จุดจอดรถจนถึงในห้องน้ำเลย แต่ละโต๊ะก็จะมี พนง.บริการประจำ ในส่วนของอาหารก็มีหลายเมนูมาก ทั่วไปรสชาติกลางๆ มีบางเมนูที่อร่อยถูกปากถูกใจเลยล่ะ
ทอดมันประทับใจ
ไม่ค่อยประทับใจ เนื้อปลากรายยังไม่เหนียวหนึบเด้งดึ๋ง
ทอดมันกุ้ง
มาแบบทรงโดนัทชิ้นโตๆ อัดแน่นไปด้วยเนื้อกุ้ง กัดตรงไหนก็เจอเป็นชิ้นเป็นอัน ถูกใจนะจานนี้
กุ้งแช่น้ำปลา
จานนี้ไม่ได้ชิม คือเราไม่กล้ากินกุ้งดิบน่ะ แต่คุณสามีบอกสดดีน้ำจิ้มก็แซ่บ
ยำแซลมอน
แต่จานนี้สิ อยากจะสั่งเบิ้ลอีกจาน ชอบมากๆ
ยำปลาดุกฟู
แป้งเยอะไป ไม่ผ่าน
หมึกทอดกระเทียม
เนื้อหมึกล้วนๆ ไม่ชุบแป้ง แน่นๆ เด้งๆ ดูเหมือนจะมันแต่ไมเลี่ยน
แหนมซี่โครงหมูทอด
น่าจะใช่นะ เพื่อนสั่งมากินกับเบียร์น่ะ เราว่าชิ้นเล็กไปหน่อย เหนียวไปนิด
ขาหมูเยอรมัน
มีผักดองมาให้แก้เลี่ยน กรอบนอกนุ่มใน พร้อมน้ำจิ้ม 3 ชนิด แต่เราชอบน้ำจิ้มแบบซีฟู้ดมากกว่า เป็นอีกเมนูที่ชอบมาก
ผัดฉ่าเอ็นหอยจอบ
เผ็ดแต่ไม่จัดจ้าน ไม่นัวน่ะ เอ็นหอยก็เหนียว
ข้าวผัดปู
ข้าวไม่ร่วน ดูแฉะไปนิด
ไข่ตุ๋นหม้อไฟทะเล
ทั่วๆไป เนื้อไข่ยังไม่นวลเนียนนุ่มลิ้น
แนะนำเลยร้านนี้ ครอบครัวไหนมีลูกเด็กเล็กแดงหรือใครที่ชอบถ่ายรูป ต้องไม่พลาด รับรองถูกใจแน่ๆ ราคาก็ไม่ได้สูงลิ่วแพงเว่อร์"
9,"ปกติไปกินทุกสาขา แต่สาขานี้ ผัดข้าวผัดได้ผิดหวัง
ข้าวแข็งและผัดเลี่ยนกลิ่นเนยมาก แต่เมนูอื่นโอเค
ส้มตำยอดทมะพร้าว กรอบดี
ส้มตำแตง อร่อย
ผัดมันฝรั่งใส่แฮม อันนี้ดีมาก
ปลากระพงนึ่งมะนาว ปลาสด
ต้มแซ่บกระดูกหมูอ่อน อร่อย

พนักงานเอาใจใส่ดี มีถามรสชาติอาหารสาขาเพิ่งเปิด
อาหารออกเร็ว อ่านต่อได้ที่"
10,ร้านอร่อยในพื้นที่เขตศรีราชา บรรยากาศร่มรื่น มีน้องกระต่าย กะไก่ต๊อก อากาศไม่ร่อนนั่งชิลๆข้างนอกไดัค่ะ อาหารอร่อยค่ะรสชาติดีค่ะ ทานตามเมนูแนะนำเลย แต่ที่ประทับใจหมูคำหวานค่ะอร่อยดี แวะมาได้จ้าไม่ผิดหวัง 
11,"วันนี้มา2คนแต่ทานช้าวคนเดียวคือเรา ส่วนคุณผู้ชายดื่มกาแฟ1 แก้ว โซดาเปล่า 2ขวด
มานั่งร้านสาขาที่3. ร้านนี้ทุกสาขาเป็นร้านอาหารที่โดดเด่นตรงมีบริเวณกว้างขวางมีสวน มีความร่มรื่นของต้นไม้น้อยใหญ่ มีพื้นที่สำหรับเด็กๆวิ่งเล่น อาหารหลากหลายมี สามสาขาเราทานมาครบทุกสาขา ส่วนตัวคิดว่าอาหารสู้สาขา1 ไม่ได้เลยทุกสาขา เพียงแต่สาขา1ไม่มีโซนห้องแอร์เหมือนสาขาอื่นๆคะ
สาขานี่โซนร้านกาแฟเปิดบริการให้นั่งทานอาหารด้วย แอร์เย็นฉ่ำ แต่พนักงานไม่ค่อยยิ้มแย้ม ทำของตกแตกเสียงดังก็ไม่ขอโทษเลยซักคนทั้งๆที่ลูกค้าเต็มร้านเลย
ไหลบัวกุ้งสด เมนูโปรดของเรา สาขานี้อ่อนชาดแกงค่อนข้างอ่อนกว่า2สาขา ความจัดจ้านกบมกล่อมพอใช้ได้ แต่กุ้งตัวค่อนข้างเล็กมาก
ไข่เจียวปู จานนี้ปูเนื้อแข็งกระด้างมากๆ ไข่เจียวออกไปทางจืดชืดมากๆ ไม่อร่อย
ยำไส้ตัน ไส้ตันเหนียวมากเคี้ยวลำบากกลืนแทบไม่ได้ติดคอ ควรต้มไส้ให้นานกว่านี้คะ รสยำความจัดจ้านไม่ค่อยได้ เปรี้ยวโดดความเปรี้ยวไม่หอมกลิ่นมะนาวสดแต่เปรี้ยวแหลมคล้ายมะนาวผสม"
